,en,yb,yb_b,word_type,word_type_label
107,admire,ligu’," lewu’ - ŋ́gu’, wu’ɔ̄ (ŋ́gu’, gu’ō)",1,verb
113,admit (allow),lipīm," levēŋ - ḿvéŋ, véŋɛ́ (ḿbím, pímá)",1,verb
115,admonish (scold),lecɔ̄k," litsek - ńcɔ́k, cɔ́kɔ́ (ntsek, tségǝ́)",1,verb
119,adult,nduɛ,ndʉʉ / ndʉ́e,0,noun
121,adultery,agā,,0,noun
122,advantage (benefit),ape,apɛ,0,noun
124,adviser,atek,atekɛ,0,noun
125,adviser (Adviser),atek,atekɛ,0,noun
126,affection (love),ŋkɔŋne,ŋkɔŋli,0,noun
130,affix (mark),lemāk," limāk - ḿmák, máká (ḿmák, mágá)",1,verb
132,affluence (wealth),ligū’,lewū’,0,noun
134,African Baobab (Baobab),agem,egēm,0,noun
135,after,biŋ,,4,preposition
136,afternoon,mbwenjhʉ́,mbwɛ́t-njhū,0,noun
138,again,lifhi lifhī,leswhi leswhī,2,adjective
140,against (any),acʉ’,ajʉ’,0,noun
142,age,ŋkaŋa,,0,noun
148,aggravate,ligubli," lewʉpne - ŋ́gwʉpnē, wʉpnɛ̄ (ŋ́gublī, gublā)",1,verb
150,agonize,lelwɛt," lilwɛt - ńdwɛt, lwɛtɛ (ńdwɛt, lwɛlā)",1,verb
151,agree,leju’ne - újú’né,jú’nɛ́,1,verb
153,agriculture,ŋgɔ̄ŋ,,0,noun
154,ahead illegally,leza’ne," liza’li - ńzá’né, zá’nɛ́ (ńzá’lí, zá’lá)",1,verb
155,aim for,leleŋ - údeŋ,leŋɛ,1,verb
156,aku?'té cock,ŋkʉɔ’,aŋkǝ ’,0,noun
157,albino,mbomboŋ,mbumbuŋ,0,noun
159,alienation (insanity),apia,,0,noun
160,all,pron. ntsem,,2,adjective
162,all (band),nno,enɔ,0,noun
164,all (completely),mbú,,5,adverb
166,all (destiny),mbɔ̄,,0,noun
167,all (lot),atsékɛ́ ŋ́gyā,atsek-ngya,0,noun
169,all imported beans,mekō ńdēkɛ́,mekūō ńdēgǝ́,0,noun
171,alliance,eka,,0,noun
172,allocate (distribute),legap," ligap - ŋ́gap, gapā (ŋ́gap, gabā)",1,verb
173,allocate (leave),legapte," ligapti - ŋ́gaptē, gaptɛ̄ (ŋ́gaptī, gaptā)",1,verb
175,allow time,litsagli," letsakne - ńtsaknē, tsaknɛ̄ (ńtsaglī, tsaglā)",1,verb
177,alone,yíléyī,,3,pronoun
179,also,mbɔ,,6,conjonction
180,always,efʉ’etsem,,5,adverb
181,amaze,lekaate - ŋ́kaatē,kaatɛ̄,1,verb
182,amaze (amaze),lekaate - ŋ́kaatē,kaatɛ̄,1,verb
184,ambush,nzɔŋ,,0,noun
185,amek games,mega,,0,noun
186,ample (a lot),ta’,tɛ’,5,adverb
188,ample dress fabric,kaba,,0,noun
189,an argument with somebody,lecɔkne," litswagli - ńcɔ́kné, cɔ́knɛ́ (ńtsẃaglí, tsẃaglá)",1,verb
191,an autopsy,linɔgɔ," lenɔŋ - ńnɔŋ, nɔŋɔ̄ (ńnɔgɔ̄, nɔgɔ̄)",1,verb
193,ancestor,maŋgáńjʉ’,,0,noun
194,ancestor (grandfather),mo’o ndʉ́e,mɔ’ɔ́ mɔ’ɔ́,0,noun
196,ancient plant family of ?gwh?,kelaknda,kulaknda,0,noun
198,and,mbɔ,,6,conjonction
199,angina,miite,miti,0,noun
202,angle,lezhō,lizwhɛ́,0,noun
204,angle (corner),lezhō,lizwhɛ́,0,noun
206,angular (desert),ŋgɔŋmenyi,kɔ́ŋɔ́ mekwa’né,0,noun
209,angular (lean),aŋaŋá,aŋaŋŋ,2,adjective
211,animal,na,,0,noun
212,animal neck,ami,ammɛ,0,noun
214,Animalia (animals),na,,0,noun
215,ankle,lezēkɛ́khu,,0,noun
216,Annex cottage,pɛ́lɛ́,plɛ́ ŋgyā,0,noun
218,announce,letswi," litswi - ńtswi, tswiī",1,verb
219,announce (commodity),lephʉ̄," liphʉ̄ - ḿbhʉ̄, phʉ̄ɛ́ (ḿbhʉ́, phʉ́é)",1,verb
220,announce a new,lephʉ̄," liphʉ̄ - ḿbhʉ̄, phʉ̄ɛ́ (ḿbhʉ́, phʉ́é)",1,verb
221,annoyance (grudge),mbo,mbuo,0,noun
223,anoint,letswɛ̄t," lizɔ̄’ - ńtswɛ́t, tswɛ́ttɛ́ (ńzɔ̄’, zɔ̄’á)",1,verb
225,anoint (expand),lesaŋte," lisaŋti - ésaŋtē, saŋtɛ̄ (ńsaŋtī, saŋtā)",1,verb
227,anoint (spread),lesaŋte," lisaŋti - ésaŋtē, saŋtɛ̄ (ńsaŋtī, saŋtā)",1,verb
228,anoint slightly,leswhiite - éswhííté,swhíitɛ́,1,verb
229,ant,kikyá,títíá,0,noun
231,antechamber (home),litshɛ́ ḿmok,letshiɛ́ ḿmōk,0,noun
233,antelope,naŋgāp,aŋgap-mendɔŋ,0,noun
235,anthill,lepfho,lipfhɔ,0,noun
237,antithermic (fire),mmók,,0,noun
238,ants (ant),kikyá,títíá,0,noun
240,anus,nchʉ,,0,noun
242,anvil,nduoala,nduɔla,0,noun
246,anxiety,amek,,0,noun
247,aphaniptères (chip),ŋgoo,,0,noun
248,appear,lesa’ne," lisa’li - ésá’né, sá’nɛ́ (ńsá’lí, sá’lá)",1,verb
249,appear (be),legɔ̄ / lewɔ̄," lipɔ̄ - ŋ́gɔ́, gɔ́ɔ́ (ḿbɔ̄, pɔ̄ɔ̄)",1,verb
253,appear (to have),liwe," lewɛ - ŋ́gwɛ, wiɛ̄ (ŋ́gwe, weē)",1,verb
255,applaud,lepu’te mbū," lipu’ti mbū - ḿbʉ́’te mbʉ̄, pʉ’te mbʉ̄ (ḿbú’tí mbū, pú’tá mbū)",1,verb
257,Appliances (Home),ŋgyā,,0,noun
258,Appliances (household),litshɛ́ ḿmok,letshiɛ́ ḿmōk,0,noun
260,apply (ask),linɔgɔ," lenɔŋ - ńnɔŋ, nɔŋɔ̄ (ńnɔgɔ̄, nɔgɔ̄)",1,verb
264,apply (to),linēk," lenēŋ - ńnéŋ, néŋɛ́ (ńnék, négé)",1,verb
268,appointment,ala’ne,,0,noun
270,appreciate,ligu’," lewu’ - ŋ́gu’, wu’ɔ̄ (ŋ́gu’, gu’ō)",1,verb
272,appropriate,leku," likū - ŋ́kú, kúú",1,verb
273,appropriate (good),lipwɛlli," lepwɛnne - ḿbwɛ́nné, pwɛ́nnɛ́ (ḿbwɛ́llí, pwɛ́llá)",1,verb
275,appropriating mystically,lisoŋ," lesɔŋ - ésɔŋ, sɔŋɔ̄ (ńsoŋ, soŋɔ̄)",1,verb
277,arching,lizeeli," lezɛɛne - ńzɛ́ɛ́né, zɛ́ɛ́nɛ́ (ńzéélí, zéélá)",1,verb
279,ardeidae (heron),ncuŋ,ntso,0,noun
281,are you talking about (child),mó,mɔ́,0,noun
283,arena (sand),asaŋa sáŋá,asaŋa sáŋá / meŋyí,0,noun
285,argue,lenu’," linu’ - ńnʉ’, nʉ’ɔ̄",1,verb
287,argue (pray),leswiŋte," liswiŋti - éswíŋté, swíŋtɛ́ (ńswíŋtí, swíŋtá)",1,verb
288,arise,lesa’ne," lisa’li - ésá’né, sá’nɛ́ (ńsá’lí, sá’lá)",1,verb
289,armor,lethu," lithu - ńthu, thuɔ̄ (ńthu, thuō)",1,verb
290,Army (crowd),alā’,,0,noun
291,army (host),ŋge,ŋgʉe,0,noun
293,arrange,lecuŋte," litsoŋti - ńcuŋtē, cuŋtɛ̄ (ńtsoŋtī, tsoŋtā)",1,verb
300,arrangement,ekém,,11,noun adjective
301,arrangement (Arrangement),ekém,,11,noun adjective
302,arrangement (plan),ntsho,ntswhɛ,0,noun
304,arrive,leko," likūō - ŋ́kó, kúɔ́ (ŋ́kúó, kúóó)",1,verb
307,arrive before,lepik," lipik - ḿbik, pikɛ̄ (ḿbik, pigā)",1,verb
308,arrow,lekɔŋ,likɔŋ,0,noun
309,art,levho,livhɔ,0,noun
311,ash,avhō,,0,noun
312,aside,ntsem,,0,noun
313,ask (advice),lipyagli," lepyakne - ḿbyákné, pyáknɛ́ (ḿbyáglí, pyáglá)",1,verb
315,ask (to),likwī," letswī - útswí, tswí (ŋ́kwí, kwíí)",1,verb
323,aspect (place),acʉ’,ajʉ’,0,noun
325,aspire,lenɔ̄ŋ," linɔ̄ŋ - ńnɔ́ŋ, nɔ́ŋɔ́",1,verb
326,ass (back),nzem,,0,noun
327,ass (bottom),atseŋ,,0,noun
328,assemble (link),lejuŋte," lizoŋ ti - újuŋtē, juŋtɛ̄ (ńzoŋtī, zoŋtā)",1,verb
333,assert,lipīm," levēŋ - ḿvéŋ, véŋɛ́ (ḿbím, pímá)",1,verb
335,assess (evaluate),ligu’," lewu’ - ŋ́gu’, wu’ɔ̄ (ŋ́gu’, gu’ō)",1,verb
337,asshole (anus),nchʉ,,0,noun
341,assign (distribute),legap," ligap - ŋ́gap, gapā (ŋ́gap, gabā)",1,verb
342,assign (leave),legapte," ligapti - ŋ́gaptē, gaptɛ̄ (ŋ́gaptī, gaptā)",1,verb
344,assimilate (consider),ligu’ti," lewu’te - ŋ́gu’tē, wu’tɛ̄ (ŋ́gu’tī, gu’tā)",1,verb
346,assimilate (take),leku’te," liku’li - ŋ́kú’té, kú’tɛ́ (ŋ́kú ’t í, kú’tá)",1,verb
347,assimilate (to watch),lecʉ," licʉ - ńcʉ, cʉʉ̄",1,verb
349,assist,lepaate," lipaati - ḿbááté, páátɛ́ (ḿbáátí, páátá)",1,verb
350,assizes,acu’te,,0,noun
351,association,alóŋ,alúŋ,0,noun
353,association of age,lefaŋmbeŋ,,0,noun
357,assume (watch),lecʉ," licʉ - ńcʉ, cʉʉ̄",1,verb
359,Assuming (consider),ligu’ti," lewu’te - ŋ́gu’tē, wu’tɛ̄ (ŋ́gu’tī, gu’tā)",1,verb
361,astound (surprise),lekʉ’ne," likʉ ’li - ŋ́kʉ’nē, kʉ’nɛ̄ (ŋ́kʉ’lī, kʉ’lā)",1,verb
362,at,a,,4,preposition
363,at (a),a,,4,preposition
364,at (on),a,,4,preposition
365,atmosphere (middle),tsetsɛlɛ /tsetsɛtɛ,tsitsɛlɛ,0,noun
367,atonement,leswɛt,liswɛt,0,noun
368,attach,likwāt," lekwɛ̄t - ŋ́kwɛ́t, kwɛ́tɛ́ (ŋ́kwát, kwátá)",1,verb
372,attach slightly,lecū," licū - ńcú, cúú",1,verb
373,attic ?ki?,ŋkiŋ,,0,noun
374,attitude,atswhɛ́,atswhī,0,noun
376,attribute (field),ŋkā’,,0,noun
377,authentic,kwa’,,2,adjective
378,authorize,lipīm," levēŋ - ḿvéŋ, véŋɛ́ (ḿbím, pímá)",1,verb
380,Auto (car),matúa,mɛtúa,0,noun
382,auto (machine),masiŋ,mesíŋ,0,noun
384,autumn (fall),ligwhʉ," lewhʉ - ŋ́gwhʉ, whʉɛ̄ (ŋ́gwhʉ, gwhʉē)",1,verb
389,available (measure),efʉ’,,0,noun
390,avarice,ekubli,ekumne / akumne,0,noun
394,average,agabli,agapne,2,adjective
397,avidly take,leka," lika - ŋ́ka, kaa",1,verb
398,avoid,ligenli," legʉŋne - ŋ́gʉ́ŋné, gʉ́ŋnɛ́ ( ŋ́géŋlí, géŋlá) ",1,verb
403,award (distribute),legap," ligap - ŋ́gap, gapā (ŋ́gap, gabā)",1,verb
404,award (to leave),legapte," ligapti - ŋ́gaptē, gaptɛ̄ (ŋ́gaptī, gaptā)",1,verb
406,away from view,lepiite," lipiiti - ḿbííté, píítɛ́ ( ḿbíítí, píítá)",1,verb
407,awning (shed),ntap,,0,noun
408,ax,nza,,0,noun
409,axilla,legapté,ligaptí,0,noun
411,baa (horny goat),lipwɔbli," lepwɔpne - ḿbwɔ́pné, pwɔ́pnɛ́ (ḿbwɔ̄blí, pwɔ̄blá)",1,verb
413,baby,mofi,mɔswī,0,noun
415,babysitter,ndhimo,ŋghimɔ̄,0,noun
419,back,ŋka’te,ŋka’ti,0,noun
423,back (adjourn),lifogǝ," lefēŋ - éféŋ, féŋɛ́ (ńfégǝ́, fégǝ́)",1,verb
426,back (back),lepiŋ," lipiŋ́ - ḿbiŋ, piŋɛ̄ (ḿbiŋ, piŋā)",1,verb
428,back (behind),nzem,,0,noun
429,back (return),lepiŋne - ḿbiŋnē,piŋnɛ̄,1,verb
430,back (rumble),lecɔ̄k," litsek - ńcɔ́k, cɔ́kɔ́ (ntsek, tségǝ́)",1,verb
432,back (side of the garment),lepwɛt," lipwɛt - ḿbwɛt, pwɛtɛ̄ (ḿbwɛt, pwɛlā)",1,verb
433,back of the throat,agāk,,0,noun
434,back to life,lezīm," lizīm - ńzím, zímɛ́ (ńzím, zímá)",1,verb
435,back to poultry at night,likogli," lekokne - ŋ́kókné, kóknɛ́ (ŋ́koglī, koglā)",1,verb
437,Back-pack,lipati," lepɛtte - ḿbɛttē, pɛttɛ̄ (ḿbatī, patā)",1,verb
439,background,atseŋ,,0,noun
440,backwater,ndu,,0,noun
441,bad dream,athu tipɔŋ,athʉ̄ɔ̄tepɔŋ,0,noun
443,bad luck,mbalɔ́ɔk,,0,noun
445,Bag,leshu,lishu,0,noun
446,bake,lelā," lila - údá, láá",1,verb
447,balafon,nzáŋ,,0,noun
448,balafon with nine tones,malɛ̄ŋge,,0,noun
449,bald,akoó-nduo,akɔúdo,0,noun
451,ball,achune,,0,noun
453,ball (ball),akwɛte,,0,noun
461,ball (testicle),lepáŋńzeŋ,lipáŋnzeŋ,0,noun
473,balloon,akwɛte,,0,noun
474,ballpoint pen,nzɔ̄ŋ,,0,noun
475,Bamboo China,lefek,lifek,0,noun
476,bamboo leaf bud,eswiki,tu eswík,0,noun
478,bamboo raffia,ndeŋ,,0,noun
479,bamboo shoot,eswík,eswiké,0,noun
481,bamboo torch,ŋka’,,0,noun
482,bamboo umbrella-shaped diamond,kemu’,kúmʉ̄’/ kúmu’,0,noun
484,ban,lepe," lipʉ̄ē - ḿbé, pʉ́ɛ́ (ḿbʉ́é, pʉ́éé)",1,verb
489,banana,ŋkɛŋgiŋɛ,aŋkandiŋa,0,noun
491,banana trunk on which are deposited the balafon,ŋkɔ’-n̄záŋ,,0,noun
492,banana trunk or diet,ŋkɔ ’ aŋkandiŋa,ŋkɔ’ ŋkɛŋgiŋɛ,0,noun
494,band,nno,enɔ,0,noun
496,band (all),lezeŋne," lizeŋli - ńzéŋné, zéŋnɛ́ (ńzéŋlí, zéŋlá)",1,verb
497,band (destiny),mbɔ̄,,0,noun
498,bandit,atēm,,0,noun
500,bang,leŋem," liŋēm - ŋ́ŋém, ŋémɛ́ (ŋ́ŋém, ŋémá)",1,verb
501,banging head,letu," litū - ńtú, túú",1,verb
502,bank,ligēŋ,legʉ̄ŋ,0,noun
507,bank (bank),ligēŋ,legʉ̄ŋ,0,noun
510,baobab,agem,egēm,0,noun
511,baptize,linō / mo," lenɔ̄ - ńnɔ́, nɔ́ɔ́ (ńnó/mó, nóó/mó)",1,verb
513,bar (barrier),ake,akɛ,0,noun
519,bar (column),ntō apóŋ,ntɔpúŋ,0,noun
521,baratiner,lekwā’," likwā’ - ŋ́kwá’, kwá’á",1,verb
522,bargain,lenɔ’te - ńnɔ’te,nɔ’tɛ,1,verb
524,bark,lecu’," licu’ - ńcu’, cu’ɔ̄ (ńcu’, cu’ō)",1,verb
529,bark one's shins,leswiŋte," liswiŋti - éswiŋtē, swiŋtɛ̄ (ńswiŋtī, swiŋtā)",1,verb
530,barking,lecu’,licu’,0,noun
531,barrier,ake,akɛ,0,noun
533,barrister (advocate),ntɔknzem,,0,noun
534,barter,lekumne," likupli - ŋ́kúmnɛ́, kúmnɛ́ (ŋ́kúplí, kúplá)",1,verb
537,base,letseŋ,litseŋ,0,noun
538,basis (within),lepe,lipʉ̄ē,0,noun
540,basket,toŋ,túŋ,0,noun
542,bat,ndǝ́,andʉ̄ɔ̄,0,noun
544,battlefield (field),ŋkā’,,0,noun
545,battlefront,lewɛ,,0,noun
546,be,legɔ̄ / lewɔ̄," lipɔ̄ - ŋ́gɔ́, gɔ́ɔ́ (ḿbɔ̄, pɔ̄ɔ̄)",1,verb
548,be (have),liwe," lewɛ - ŋ́gwɛ, wiɛ̄ (ŋ́gwe, weē)",1,verb
551,be (like),letsā," litsā - ńtsá, tsáá",1,verb
552,be (show),lesa’ne," lisa’li - ésá’né, sá’nɛ́ (ńsá’lí, sá’lá)",1,verb
557,be (state),leghiite," lighiti - ŋ́ghííté, ghíítɛ́ (ŋ́ghítí, ghítá)",1,verb
559,be (target),leleŋ - údeŋ,leŋɛ,1,verb
560,be a little too greedy,leza apup - ńzá apup,zá apup,1,verb
561,be abandoned does that have to,lesoone," lishuoli - ésoonē, soonɛ̄ (ńshuolī, shuolā)",1,verb
563,be able,leku’," liku’ - ŋ́ku’, ku’ɔ̄",1,verb
564,be absent,letshō," litswhɛ́ - ńtshó, tshɔ́ɔ́ (ńtswhɛ́, tswhɛ́)",1,verb
566,be acidic,lecɔ̄k," litsek - ńcɔ́k, cɔ́kɔ́ (ntsek, tségǝ́)",1,verb
570,be afraid,lecɔ’," litsǝ ’ - ńcɔ’, cɔ’ɔ̄ (ńtsǝ’, tsɔ’ɔ̄)",1,verb
572,be ahead of time,leteene," litueli - úteenē, teenɛ̄ (ńtʉelī, tʉelā)",1,verb
574,be alone,lesoone," lishuoli - ésoonē, soonɛ̄ (ńshuolī, shuolā)",1,verb
576,be animated,leloone - údoonē,loonɛ̄,1,verb
577,be at loggerheads,leteene," litueli - úteenē, teenɛ̄ (ńtʉelī, tʉelā)",1,verb
579,be bent,leŋɔ’ne," liŋɔ’li - ŋ́ŋɔ́’né, ŋɔ́’nɛ́ (ŋ́ŋɔ́’lí, ŋɔ́’lá)",1,verb
580,be bitter,lilhi," lewhi - ŋ́gwhi, whiɛ̄ (ńdhi, lhiā)",1,verb
582,be black,lesēŋ," lisēŋ - éséŋ, séŋɛ́ (ńséŋ, séŋǝ́)",1,verb
583,be bland,lelāp," lilāp - údáp, lápá (ńdáp, lábá)",1,verb
584,be bold,lifō," lefɔ̄ - éfɔ́, fɔ́ɔ́ (ńfó, fóó)",1,verb
585,be boring,letsaŋ ne," litsaŋli - ńtsaŋnē, tsaŋnɛ̄ (ńtsaŋlī, tsaŋlā)",1,verb
587,be clean,lelaane," lilaali - údááné, láánɛ́ (ńdáálí, láálá)",1,verb
588,be clumsy,letswɛt - ńtswɛt,tswɛtɛ̄,1,verb
589,be compared,lepaate," lipaati - ḿbááté, páátɛ́ (ḿbáátí, páátá)",1,verb
590,be complete,lepo," lipuŋ - ḿbo, pʉɔ̄ (ḿbuŋ, puŋɔ̄)",1,verb
592,be concerned,lelɛt," lilɛt - údɛt, lɛtɛ (lilɛt, ńdɛ̄t)",1,verb
593,be consistent,litsegli," letsekne - ńtseknē, tseknɛ̄ (ńtseglī, tseglā)",1,verb
595,be cooked to perfection,liphī," levhō - ḿvhó, vhɔ́ɔ́ (ḿbhí, phíá)",1,verb
597,be cool,liŋweeli," leŋwɛɛne - ŋ́ŋwɛɛnē, ŋwɛɛnɛ̄ (ŋ́ŋweelī, ŋweelā)",1,verb
599,be cracking,lesaate," lisaati - ésááté, sáátɛ́ (ńsáátí, sáátá)",1,verb
600,be crazy,leleene - údééné,lééné,1,verb
601,be crispy,ligemti," legʉmte - ŋ́gʉmtē, gʉmtɛ̄ (ŋ́gemtī, gemtā)",1,verb
603,be deep,lesɛh," lisɛh - ésɛh, sɛhɛ̄ (ńsɛh, sɛhɛ́)",1,verb
604,be deformed,lenɔ’ɔ," linɔ ’ɔ - ńnɔ’ɔ̄, nɔ’ɔ",1,verb
605,be delighted,lekāk," likāk - ŋ́kák, káká (ŋ́kák, kágá)",1,verb
606,be dense,lizegli," lezeŋne - ńzeŋnē, zeŋnɛ̄ (ńzeglī, zeglā)",1,verb
609,be dirty,lefem," lifem - éfem, femɛ̄ (ńfem, femā)",1,verb
610,be disgusting,liŋyagli," leŋyakne - ŋ́ŋyaknē, ŋyaknɛ̄ (ŋ́ŋyaglē, ŋyaglā)",1,verb
612,be disordered,lifɛtti," lepfɛtte - ḿpfɛ́tté, pfɛ́ttɛ́ (ńfɛ́ttí, fɛ́ttá)",1,verb
614,be disturbed,lepu’ne," lipu’li - ḿbú’né, pú’nɛ́ (ḿbú’lí, pú’lá)",1,verb
615,be early,leme," limʉe - ḿmé, mʉ́ɛ́ (ḿmʉ̄é, mʉ̄é)",1,verb
617,be enduring,lesek," lisek - ések, sekɛ̄ (ńsek, segǝ̄)",1,verb
618,be exceeded,litabli," letapne - útapnē, tapnɛ̄ (ńtablī, tablā)",1,verb
620,be exhausted,legɔ’ne," ligɔ li - ŋ́gɔ’nē, gɔ’nɛ̄ (ŋ́gɔ ’l ī, gɔ’lā)",1,verb
622,be explained,lelɛ’," lilɛ’ - ńdɛ’, lɛ’ɛ",1,verb
623,be face to face (door),lepeŋ ne," lipeŋli - ḿbéŋné, péŋnɛ́ (ḿbéŋlí, péŋlá)",1,verb
624,be fed,lezwɛ̄t," lizwɛ̄t - ńzwɛ́t, zwɛ́tɛ́ (ńzwɛ́t, zwɛ́lá)",1,verb
625,be flattened,lepapne - ḿbapnē,papnɛ̄,1,verb
626,be fond,lisǝ," leshʉɔ - éshʉɔ̄, shʉɔ̄ (ńsǝ, sǝǝ̄)",1,verb
628,be full,lelo," lilūŋ - údó, lúɔ́ (ńdúŋ, lúŋɔ́)",1,verb
630,"be generally clean (person, animal)",letwɛt - ńtwɛt,twɛtɛ̄,1,verb
631,be gentle,lipwɛlli," lepwɛnne - ḿbwɛ́nné, pwɛ́nnɛ́ (ḿbwɛ́llí, pwɛ́llá)",1,verb
635,be glued,lipɛlli," lepɛnne - ḿbɛ́nné, pɛ́nnɛ́ (ḿbellí, péélá)",1,verb
637,be handsome / beautiful,lepɔŋ," lipɔŋ - ḿbɔŋ, pɔŋɔ̄",1,verb
638,be hard,leŋīŋ," liŋyīŋ - ŋ́ŋíŋ, ŋíŋɛ́ (ŋ́ŋyíŋ, ŋyíŋá)",1,verb
640,be hot,litooli," letɔɔne - útɔɔnē, tɔɔnɛ̄ (ńtoolī, toolā)",1,verb
644,be in a huff,lekaate," likaati - ŋ́kááté, káátɛ́ (ŋ́káátí, káátá)",1,verb
645,be in a hurry,ligagli," legakne - ŋ́gákné, gáknɛ́ (ŋ́gáglí, gáglá)",1,verb
647,be in conflict,leti’ne," liti’li - úti’ne, ti’nɛ (ńti’lī, ti’lā)",1,verb
648,be ineffective,lepekne - ḿbékné,péknɛ́,1,verb
649,be justified,lelɛ’," lilɛ’ - ńdɛ’, lɛ’ɛ",1,verb
650,be large,lefāŋ,lifāŋ,2,adjective
651,be late,lilīŋ," lcyīŋ - ŋ́gíŋ, yíŋɛ́ (ńdíŋ, líŋá)",1,verb
653,be light,lizaŋli / lizakti," lezaŋne - ńzaŋnē, zaŋnɛ̄ (ńzaŋlī / ńzaktī, zaŋlā / zaktā)",1,verb
655,be long,lesak," lisak - ésak, sakā (ńsak, sagā)",1,verb
656,be low,levok," livōk - (ḿvók, vógó)",1,verb
657,be lukewarm,leloote," liluŋti - údoote, lootɛ̄ (ńduŋtī, luŋtā)",1,verb
659,be Mealy,lemu’ne," limu’li - ḿmʉ’nē, mʉ’nɛ̄ (ḿmu’lī, mu’lā)",1,verb
660,be mean,lebāt - ḿbát,bátá,1,verb
